County,Year,Class,Dollar Damage,Approximate Size (Acres),Approximate Latitude,Approximate Longitude,Average Temperature In Year In County,Average Precipitation In Year In County,Cost Class
Alameda,2022,A,294.1176471,0.125,37.647139,-121.912488,60.4,14.98,B
Amador,2022,A,19.60784314,0.125,38.44355,-120.653856,60.1,28.26,A
Butte,2022,A,38.10483871,0.125,39.665959,-121.601919,61.9,31.65,A
Calaveras,2022,A,5767.371134,0.125,38.1839,-120.561441,60.6,26.48,D
Del Norte,2022,A,0.04444444444,0.125,41.749903,-123.980998,53.6,61.02,A
El Dorado,2022,A,1066.442953,0.125,38.785532,-120.534398,56.3,36.22,C
Fresno,2022,A,119.7674419,0.125,36.761006,-119.655019,57.7,12.89,B
Glenn,2022,A,250,0.125,39.602546,-122.4017,62.3,16.64,B
Humboldt,2022,A,33.43333333,0.125,40.706673,-123.925818,54.7,44.28,A
Inyo,2022,A,9178.571429,0.125,36.561977,-117.403927,63,3.96,D
Lake,2022,A,1518.507692,0.125,39.094802,-122.746757,59.2,31.53,C
Lassen,2022,A,215.1515152,0.125,40.721086,-120.629952,49.1,15.91,B
Madera,2022,A,358.0645161,0.125,37.209821,-119.749802,58,14.89,B
Mariposa,2022,A,463.0769231,0.125,37.570033,-119.91286,57.2,21.48,B
Mendocino,2022,A,20.5,0.125,39.432388,-123.442881,56.8,37.23,A
Monterey,2022,A,1351.041667,0.125,36.240107,-121.315572,59.6,13.22,C
Napa,2022,A,1923.225,0.125,38.5071,-122.325904,60.6,23.69,C
Nevada,2022,A,1010.855856,0.125,39.297508,-120.771343,54.5,42.72,C
Riverside,2022,A,78.50735294,0.125,33.729828,-116.002239,70.2,4.11,A
Sacramento,2022,A,285.7142857,0.125,38.450011,-121.340441,63.4,14.81,B
San Benito,2022,A,1525,0.125,36.610702,-121.085296,60.4,10.44,C
San Bernardino,2022,A,44.24778761,0.125,34.85722,-116.181197,68.5,3.5,A
San Diego,2022,A,1121.19774,0.125,33.023604,-116.776117,64.3,9.24,C
San Joaquin,2022,A,1111.111111,0.125,37.934982,-121.272244,63.6,11.2,C
San Luis Obispo,2022,A,377.7777778,0.125,35.385224,-120.447544,61,10.77,B
San Mateo,2022,A,358.8823529,0.125,37.414663,-122.371545,57.4,22.72,B
Santa Clara,2022,A,156,0.125,37.220777,-121.690622,59.5,18.25,B
Santa Cruz,2022,A,115.630137,0.125,37.012488,-122.007205,58.2,26.99,B
